Log created: 2026-01-12 04:38:38
Type: staging
[2026-01-12 04:40:42][notice]The next copying files starts from:34500
[2026-01-12 04:40:43][notice]The count of copied files: 500
[2026-01-12 04:40:43][notice]The next copying files starts from:35000
[2026-01-12 04:40:44][notice]The count of copied files: 500
[2026-01-12 04:40:44][notice]The next copying files starts from:35500
[2026-01-12 04:40:45][notice]The count of copied files: 500
[2026-01-12 04:40:45][notice]The next copying files starts from:36000
[2026-01-12 04:40:46][notice]The count of copied files: 500
[2026-01-12 04:40:46][notice]The next copying files starts from:36500
[2026-01-12 04:40:46][notice]The count of copied files: 500
[2026-01-12 04:40:46][notice]The next copying files starts from:37000
[2026-01-12 04:40:47][notice]The count of copied files: 500
[2026-01-12 04:40:47][notice]The next copying files starts from:37500
[2026-01-12 04:40:48][notice]The count of copied files: 500
[2026-01-12 04:40:48][notice]The next copying files starts from:38000
[2026-01-12 04:40:49][notice]The count of copied files: 500
[2026-01-12 04:40:49][notice]The next copying files starts from:38500
[2026-01-12 04:40:50][notice]The count of copied files: 500
[2026-01-12 04:40:50][notice]The next copying files starts from:39000
[2026-01-12 04:40:51][notice]The count of copied files: 500
[2026-01-12 04:40:51][notice]The next copying files starts from:39500
[2026-01-12 04:40:52][notice]The count of copied files: 500
[2026-01-12 04:40:52][notice]The next copying files starts from:40000
[2026-01-12 04:40:53][notice]The count of copied files: 500
[2026-01-12 04:40:53][notice]The next copying files starts from:40500
[2026-01-12 04:40:54][notice]The count of copied files: 500
[2026-01-12 04:40:54][notice]The next copying files starts from:41000
[2026-01-12 04:40:55][notice]The count of copied files: 500
[2026-01-12 04:40:55][notice]The next copying files starts from:41500
[2026-01-12 04:40:57][notice]The count of copied files: 500
[2026-01-12 04:40:57][notice]The next copying files starts from:42000
[2026-01-12 04:40:58][notice]The count of copied files: 500
[2026-01-12 04:40:58][notice]The next copying files starts from:42500
[2026-01-12 04:40:59][notice]The count of copied files: 500
[2026-01-12 04:40:59][notice]The next copying files starts from:43000
[2026-01-12 04:41:00][notice]The count of copied files: 500
[2026-01-12 04:41:00][notice]The next copying files starts from:43500
